ID,DateTimeUTC, TapType, StopId, CompanyId, BusID, PAN
1,22-01-2018 13:00:00, ON, Stop1, Company3, Bus37, 5500005555555559
2,22-01-2018 13:05:00, OFF, Stop2, Company3, Bus37, 5500005555555559
3,22-01-2018 13:06:00, ON, Stop2, Company1, Bus37, 5500005555555544
4,22-01-2018 13:10:00, ON, Stop2, Company1, Bus20, 550000555555566
5,22-01-2018 13:20:00, OFF, Stop2, Company1, Bus20, 550000555555566
6,22-01-2018 13:05:00, ON, Stop2, Company1, Bus37, 5500005555555599
7,22-01-2018 13:09:00, OF, Stop3, Company1, Bus37, 5500005555555599
8,22-01-2018 13:05:00, ON, Stop1, Company1, Bus37, 55000055555555
9,22-01-2018 13:05:00, OF, Stop3, Company1, Bus37, 55000055555555
10,22-01-2018 13:05:00, ON, Stop1, Company2, Bus37, 5500005555555522
11,22-01-2018 13:40:00, OF, Stop1, Company2, Bus33, 5500005555555522
